Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Simon Francis,eng ENG,DF,Bournemouth,32,1985,30.1,1347,1864,72.3,26343,11347,512,612,83.7,632,807,78.3,184,383,48.0,1,1.5,2.4,-0.5,27,109,25,18,119,49,55.8,26,16,7,24,43,19,29,18,11,49,98,194,4,Matches,1864,1617,243,65,1,28,78,176,2,0,1,0,1347,4,36,10,1,1,24,15,1,78,49,34,0,0,0,159,142,73,66.0,England
Simon Mignolet,be BEL,GK,Liverpool,29,1988,19.0,447,601,74.4,11461,8759,79,79,100.0,260,261,99.6,108,258,41.9,0,0.0,0.0,0.0,0,6,0,0,0,2,33.3,2,0,0,1,3,2,0,0,0,0,2,5,3,Matches,601,459,141,40,0,0,0,0,0,0,0,0,447,1,1,3,0,0,2,2,0,0,0,1,0,1,0,47,4,0,100.0,England
Sofiane Boufal,ma MAR,"FW,MF",Southampton,23,1993,13.5,431,580,74.3,6295,1617,250,302,82.8,123,164,75.0,32,60,53.3,2,1.8,1.8,+0.2,21,37,24,3,76,37,34.3,12,14,11,12,35,23,20,1,19,6,43,6,0,Matches,580,553,25,3,6,5,40,6,11,9,1,0,431,2,18,1,0,0,27,28,2,40,6,24,0,0,0,81,6,12,33.3,England
Solly March,eng ENG,"MF,FW",Brighton,23,1994,20.6,516,756,68.3,8609,2396,255,309,82.5,173,241,71.8,59,119,49.6,1,1.4,1.8,-0.4,18,33,19,9,60,54,40.7,34,14,6,22,54,32,27,3,24,13,67,49,0,Matches,756,710,35,4,1,11,102,6,18,6,9,1,516,11,36,3,0,0,29,22,7,102,13,41,1,0,0,135,19,42,31.1,England
Son Heung-min,kr KOR,FW,Tottenham,25,1992,25.6,792,980,80.8,10977,2123,472,549,86.0,260,307,84.7,25,46,54.3,6,6.2,4.3,-0.2,39,52,26,3,92,17,7.1,2,12,3,2,28,26,18,0,18,10,27,12,0,Matches,980,955,20,2,6,2,51,8,4,0,1,0,792,5,35,0,0,0,15,26,25,51,10,10,0,0,0,84,2,13,13.3,England
Stefano Okaka,it ITA,FW,Watford,27,1989,5.0,105,160,65.6,1334,215,67,85,78.8,17,36,47.2,7,8,87.5,1,0.4,0.4,+0.6,5,9,3,0,10,6,50.0,0,6,0,3,6,3,3,0,3,0,6,0,0,Matches,160,154,4,1,2,1,1,3,0,0,0,0,105,2,5,2,0,0,21,9,4,1,0,4,0,0,0,23,22,28,44.0,England
Stephen Ireland,ie IRL,"MF,FW",Stoke City,30,1986,1.5,57,70,81.4,788,200,37,40,92.5,13,14,92.9,3,7,42.9,0,0.0,0.0,0.0,1,5,0,0,7,3,20.0,2,1,0,1,5,4,4,2,2,1,4,1,0,Matches,70,63,5,0,1,1,0,2,0,0,0,0,57,2,1,1,0,0,1,1,0,0,1,1,0,0,0,2,0,2,0.0,England
Stephen Ward,ie IRL,DF,Burnley,31,1985,27.3,865,1293,66.9,15628,6840,396,457,86.7,351,504,69.6,102,260,39.2,1,1.4,1.4,-0.4,16,96,21,15,87,39,47.6,27,8,4,20,42,22,27,12,15,42,81,126,0,Matches,1293,990,292,15,0,3,82,277,0,0,0,0,865,11,42,1,0,0,11,29,3,82,42,31,0,0,0,105,54,28,65.9,England
Steve Cook,eng ENG,DF,Bournemouth,26,1991,30.7,1029,1400,73.5,22531,9824,246,313,78.6,610,742,82.2,163,315,51.7,1,1.0,0.5,0.0,5,65,4,0,83,37,65.5,28,7,2,19,29,10,63,45,18,54,91,232,4,Matches,1400,1296,101,31,0,11,6,70,0,0,0,0,1029,3,14,5,0,0,22,19,1,6,54,19,0,0,1,138,132,68,66.0,England
Steve Mounié,bj BEN,FW,Huddersfield,22,1994,20.6,325,536,60.6,4180,756,205,309,66.3,76,147,51.7,13,18,72.2,1,1.8,0.7,-0.8,17,22,5,0,27,11,0.0,2,4,5,0,19,19,23,3,20,7,18,30,0,Matches,536,512,22,0,2,2,9,2,0,0,0,0,325,2,9,2,0,0,28,16,23,9,7,8,0,0,0,63,143,131,52.2,England
Steven Davis,nir NIR,MF,Southampton,32,1985,16.9,886,1092,81.1,14571,4068,424,472,89.8,349,403,86.6,78,134,58.2,0,1.1,1.9,-1.1,18,101,20,3,129,30,36.7,10,17,3,11,30,19,22,6,16,15,45,24,1,Matches,1092,1037,50,14,7,8,42,1,27,18,3,1,886,5,27,0,0,0,8,8,3,42,15,21,1,0,0,137,14,26,35.0,England
