Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Antonín Barák,cz CZE,MF,Udinese,22,1994,30.1,905,1171,77.3,14980,4768,446,526,84.8,373,457,81.6,65,120,54.2,3,3.3,2.2,-0.3,30,117,28,3,161,58,36.2,22,27,9,21,58,37,34,2,32,18,76,26,1,Matches,1171,1148,18,4,2,8,34,6,7,5,1,0,905,5,35,5,0,0,47,24,0,34,18,38,0,0,0,172,30,29,50.8,Italy
Aristóteles Romero,ve VEN,"MF,FW",Crotone,21,1995,1.0,37,49,75.5,812,162,12,16,75.0,17,21,81.0,8,10,80.0,0,0.0,0.0,0.0,1,7,0,0,8,11,60.0,7,4,0,3,5,2,3,0,3,5,16,0,0,Matches,49,49,0,0,0,2,0,0,0,0,0,0,37,0,2,2,0,0,6,0,0,0,5,7,0,0,0,15,1,4,20.0,Italy
Arkadiusz Milik,pl POL,"FW,MF",Napoli,23,1994,5.0,115,149,77.2,1405,211,57,76,75.0,31,38,81.6,4,7,57.1,1,0.7,0.4,+0.3,7,6,5,0,12,2,0.0,0,1,1,0,1,1,5,0,5,1,3,4,0,Matches,149,141,8,1,1,0,2,0,0,0,0,0,115,0,6,2,0,0,8,7,1,2,1,1,0,0,0,11,4,17,19.0,Italy
Arlind Ajeti,al ALB,DF,Crotone,23,1993,14.1,282,362,77.9,5865,2708,89,104,85.6,140,165,84.8,51,84,60.7,1,1.0,0.9,0.0,4,16,1,0,20,42,60.0,25,14,3,18,30,12,27,15,12,34,76,82,0,Matches,362,348,13,13,0,2,0,0,0,0,0,0,282,1,5,7,0,0,19,6,0,0,34,23,0,1,0,75,20,27,42.6,Italy
Armando Izzo,it ITA,DF,Genoa,25,1992,15.4,650,869,74.8,13251,5057,214,251,85.3,335,399,84.0,97,201,48.3,0,0.2,0.3,-0.2,3,61,8,1,57,30,66.7,14,10,6,12,18,6,15,6,9,34,64,70,0,Matches,869,776,90,40,0,12,14,49,1,0,1,0,650,3,10,2,0,0,15,35,0,14,34,23,0,0,0,111,27,14,65.9,Italy
Artur Ioniță,md MDA,MF,Cagliari,26,1990,29.7,742,982,75.6,10965,3009,458,568,80.6,201,269,74.7,48,76,63.2,2,1.7,1.9,+0.3,18,78,12,8,83,63,44.7,30,24,9,17,38,21,39,7,32,28,91,29,0,Matches,982,973,5,1,0,14,36,4,0,0,0,0,742,4,35,4,0,0,54,17,6,36,28,45,0,0,0,163,75,56,57.3,Italy
Bacary Sagna,fr FRA,DF,Benevento,34,1983,10.6,690,783,88.1,10520,3514,378,403,93.8,247,278,88.8,42,64,65.6,0,1.5,0.6,-1.5,12,30,5,4,49,9,14.3,5,3,1,1,7,6,9,2,7,20,29,28,0,Matches,783,688,94,18,0,3,26,75,1,0,1,0,690,1,8,1,0,0,2,10,0,26,20,7,0,0,0,47,28,11,71.8,Italy
Bartosz Bereszyński,pl POL,DF,Sampdoria,25,1992,27.6,1271,1606,79.1,20496,7823,649,726,89.4,485,601,80.7,107,199,53.8,1,1.0,1.0,0.0,12,99,16,8,118,63,58.5,30,28,5,31,53,22,33,8,25,30,93,98,2,Matches,1606,1302,303,21,0,1,61,282,0,0,0,0,1271,1,56,5,0,0,26,27,0,61,30,47,0,1,0,154,26,23,53.1,Italy
Bartosz Salamon,pl POL,DF,SPAL,26,1991,19.2,699,867,80.6,14972,5638,197,225,87.6,383,419,91.4,111,198,56.1,0,0.3,0.3,-0.3,3,74,6,2,90,28,57.1,21,7,0,12,21,9,24,18,6,58,86,148,0,Matches,867,819,44,42,1,21,11,2,0,0,0,0,699,4,8,5,0,0,23,16,2,11,58,22,0,0,1,114,51,21,70.8,Italy
Bartłomiej Drągowski,pl POL,GK,Fiorentina,19,1997,2.4,28,51,54.9,955,839,5,5,100.0,12,13,92.3,11,33,33.3,0,0.0,0.1,0.0,0,3,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Matches,51,31,20,10,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,100.0,Italy
