Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Rubén Castro,es ESP,FW,Betis,36,1981,4.0,49,59,83.1,694,132,26,29,89.7,13,14,92.9,4,5,80.0,1,0.6,0.2,+0.4,2,2,0,0,6,1,,0,0,1,0,0,0,0,0,0,0,1,2,0,Matches,59,51,8,0,2,0,0,1,0,0,0,0,49,0,3,0,0,0,1,5,6,0,0,1,0,0,0,10,1,4,20.0,Spain
Rubén Duarte,es ESP,DF,Alavés,21,1995,23.8,670,968,69.2,10762,5136,371,441,84.1,221,327,67.6,59,154,38.3,2,1.6,1.6,+0.4,19,42,22,14,74,76,59.3,42,27,7,35,59,24,40,10,30,44,120,94,0,Matches,968,697,257,11,0,3,54,246,0,0,0,0,670,14,11,9,1,1,47,35,1,54,44,40,0,2,0,110,25,23,52.1,Spain
Rubén Pardo,es ESP,MF,Real Sociedad,24,1992,2.5,107,140,76.4,1977,588,44,50,88.0,48,57,84.2,12,25,48.0,1,0.6,0.3,+0.4,4,10,3,0,16,1,50.0,0,1,0,1,2,1,5,0,5,5,6,1,0,Matches,140,129,11,6,1,3,8,0,5,4,0,0,107,0,1,0,1,0,1,1,0,8,5,0,0,0,0,24,3,0,100.0,Spain
Rubén Peña,es ESP,"DF,MF",Eibar,26,1991,19.2,664,955,69.5,11799,4717,315,399,78.9,241,328,73.5,89,170,52.4,0,1.0,1.8,-1.0,17,65,21,13,78,41,47.6,20,17,4,20,42,22,24,6,18,30,71,31,0,Matches,955,790,160,4,0,4,70,154,0,0,0,0,664,5,28,1,0,0,15,18,5,70,30,28,0,0,0,130,14,21,40.0,Spain
Rubén Pérez,es ESP,MF,Leganés,28,1989,28.0,1140,1500,76.0,23886,8306,417,507,82.2,487,583,83.5,216,346,62.4,0,0.8,0.9,-0.8,14,168,8,0,161,99,47.5,47,48,4,48,101,53,30,5,25,77,176,40,0,Matches,1500,1442,50,49,5,40,2,1,0,0,0,0,1140,8,25,13,0,0,44,47,0,2,77,61,0,0,0,311,38,24,61.3,Spain
Rubén Rochina,es ESP,"MF,DF",Levante,26,1991,1.7,62,86,72.1,1167,475,25,30,83.3,25,31,80.6,9,14,64.3,0,0.0,0.1,0.0,1,14,6,0,15,8,66.7,5,2,1,4,6,2,0,0,0,2,10,0,0,Matches,86,79,3,3,0,1,1,0,0,0,0,0,62,4,3,0,1,0,2,4,0,1,2,5,0,0,0,12,0,2,0.0,Spain
Rubén Sobrino,es ESP,"FW,MF",Alavés,25,1992,16.3,290,407,71.3,3622,774,193,239,80.8,62,93,66.7,11,21,52.4,2,1.2,0.9,+0.8,21,19,8,3,29,33,22.2,12,16,5,6,27,21,19,2,17,18,51,10,0,Matches,407,396,7,0,0,1,13,1,0,0,0,0,290,4,14,5,0,0,37,32,6,13,18,24,0,0,0,76,54,68,44.3,Spain
Ryad Boudebouz,dz ALG,"MF,FW",Betis,27,1990,15.1,661,862,76.7,10048,2252,373,437,85.4,199,258,77.1,54,104,51.9,3,2.5,2.6,+0.5,26,55,12,1,75,32,23.1,6,21,5,6,26,20,18,1,17,7,39,8,0,Matches,862,799,61,29,4,13,52,5,23,15,6,0,661,2,18,2,0,0,21,17,1,52,7,18,0,0,0,65,6,22,21.4,Spain
Róbert Mazáň,sk SVK,DF,Celta Vigo,23,1994,0.9,74,84,88.1,1274,436,32,35,91.4,38,41,92.7,4,6,66.7,0,0.0,0.1,0.0,1,5,2,2,10,0,0.0,0,0,0,0,1,1,1,0,1,2,2,0,0,Matches,84,75,9,2,0,1,3,7,0,0,0,0,74,0,1,0,0,0,2,0,0,3,2,0,0,0,0,5,1,0,100.0,Spain
Rúben Semedo,pt POR,"DF,MF",Villarreal,23,1994,2.6,78,89,87.6,1272,444,38,41,92.7,34,36,94.4,4,8,50.0,0,0.0,0.0,0.0,1,1,0,0,4,6,66.7,6,0,0,4,6,2,5,1,4,5,11,13,2,Matches,89,86,3,2,0,0,0,1,0,0,0,0,78,0,1,0,0,0,1,1,0,0,5,5,0,0,0,10,7,3,70.0,Spain
