Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
João Moutinho,pt POR,MF,Monaco,30,1986,31.1,1670,2024,82.5,30731,9537,712,782,91.0,706,827,85.4,214,327,65.4,6,5.8,5.5,+0.2,55,222,30,6,310,65,33.8,19,37,9,27,80,53,52,12,40,36,101,54,0,Matches,2024,1800,212,129,13,20,110,9,73,29,30,1,1670,12,23,6,0,0,40,27,1,110,36,41,0,0,0,206,25,24,51.0,France
Jules Iloki,fr FRA,"MF,FW",Nantes,25,1992,15.8,343,505,67.9,5202,1677,195,250,78.0,99,147,67.3,30,56,53.6,0,2.4,2.4,-2.4,26,27,32,20,45,13,18.8,1,9,3,3,16,13,8,0,8,12,25,16,0,Matches,505,485,17,1,0,4,80,6,6,0,5,1,343,3,12,1,0,0,14,14,5,80,12,9,0,0,0,65,11,9,55.0,France
Jules Koundé,fr FRA,DF,Bordeaux,18,1998,17.7,704,844,83.4,13655,5363,276,297,92.9,323,356,90.7,95,167,56.9,0,0.1,0.3,-0.1,3,52,3,0,63,26,76.5,19,7,0,13,17,4,14,11,3,14,40,97,0,Matches,844,817,25,25,4,12,1,0,0,0,0,0,704,2,6,1,0,0,9,6,1,1,14,19,0,0,0,106,30,34,46.9,France
Julian Draxler,de GER,"MF,FW",Paris S-G,23,1993,18.9,1255,1378,91.1,18371,3579,666,701,95.0,398,430,92.6,84,110,76.4,5,4.5,3.5,+0.5,25,85,25,1,117,20,18.8,4,13,3,6,32,26,18,2,16,28,48,8,0,Matches,1378,1319,52,7,14,13,25,8,36,10,6,1,1255,7,12,1,0,0,14,10,2,25,28,14,0,0,0,108,10,9,52.6,France
Julian Palmieri,fr FRA,DF,Metz,30,1986,12.5,459,602,76.2,8263,3719,201,232,86.6,221,282,78.4,36,74,48.6,0,0.6,0.6,-0.6,9,59,13,6,56,29,58.6,17,9,3,17,29,12,16,2,14,22,51,31,0,Matches,602,464,136,11,0,4,29,125,0,0,0,0,459,2,20,4,1,0,24,10,0,29,22,15,0,0,0,60,11,10,52.4,France
Julien Féret,fr FRA,MF,Caen,35,1982,34.0,1308,1722,76.0,24889,8214,536,641,83.6,527,650,81.1,204,333,61.3,1,4.9,4.4,-3.9,68,177,25,7,272,40,18.7,10,25,5,14,75,61,52,7,45,49,89,58,2,Matches,1722,1548,162,63,6,28,129,7,74,24,45,2,1308,12,23,3,0,0,22,32,0,129,49,27,1,1,0,287,86,61,58.5,France
Julien Ielsch,fr FRA,"MF,DF",Amiens,34,1983,6.8,153,232,65.9,2250,1144,82,101,81.2,57,77,74.0,6,29,20.7,0,0.5,0.7,-0.5,6,20,4,2,27,28,28.0,12,11,5,7,25,18,16,3,13,11,39,15,2,Matches,232,218,14,3,1,0,5,11,0,0,0,0,153,0,13,4,0,0,14,5,0,5,11,18,0,0,0,55,3,9,25.0,France
Julien Serrano,fr FRA,DF,Monaco,19,1998,3.1,109,168,64.9,1667,733,60,70,85.7,45,68,66.2,4,24,16.7,0,0.2,0.4,-0.2,3,15,1,1,10,2,50.0,1,0,1,1,2,1,2,0,2,4,6,14,0,Matches,168,138,30,3,0,0,20,27,0,0,0,0,109,0,7,1,0,0,2,4,0,20,4,2,0,0,0,12,4,8,33.3,France
Junior Sambia,fr FRA,MF,Montpellier,20,1996,17.1,629,811,77.6,10378,3097,329,366,89.9,202,269,75.1,75,127,59.1,4,3.4,2.6,+0.6,34,52,14,4,76,21,21.4,6,11,4,6,28,22,16,0,16,20,41,18,0,Matches,811,697,109,28,2,4,98,27,54,17,33,0,629,5,16,3,0,0,25,34,3,98,20,12,0,0,0,90,27,26,50.9,France
Jérémie Porsan-Clémenté,mq MTQ,DF,Montpellier,19,1997,1.0,24,40,60.0,353,150,15,18,83.3,6,13,46.2,2,6,33.3,0,0.1,0.0,-0.1,1,1,0,0,1,3,100.0,1,2,0,2,2,0,1,0,1,1,4,4,1,Matches,40,29,11,0,0,0,5,11,0,0,0,0,24,0,0,1,0,0,1,1,0,5,1,2,0,0,0,7,3,2,60.0,France
