Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%
Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,12.8,519,698,74.4,8233,3470,272,304,89.5,188,260,72.3,40,94,42.6,0,0.6,1.3,-0.6,5,42,18,5,57,26,37.5,12,12,2,12,32,20,13,1,12,24,50,25,0,Matches,698,546,148,22,2,4,19,126,0,0,0,0,519,4,16,3,0,0,19,21,1,19,24,20,0,0,0,87,14,17,45.2
Ager Aketxe,es ESP,MF,Athletic Club,23,1993,0.4,32,42,76.2,478,96,18,21,85.7,9,11,81.8,3,7,42.9,0,0.0,0.0,0.0,0,3,0,0,6,1,50.0,1,0,0,1,2,1,1,0,1,1,2,0,0,Matches,42,37,5,2,0,0,7,0,3,2,1,0,32,0,1,1,0,0,1,0,0,7,1,1,0,0,0,6,0,1,0.0
David Alba,es ESP,DF,Getafe,18,1999,0.7,7,9,77.8,178,102,2,3,66.7,3,4,75.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,2,1,100.0,1,0,0,1,1,0,0,0,0,0,1,7,1,Matches,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,1,2,33.3
Jordi Alba,es ESP,DF,Barcelona,28,1989,30.5,2074,2418,85.8,28727,8911,1320,1416,93.2,597,716,83.4,91,138,65.9,8,6.1,5.3,+1.9,38,99,39,4,135,63,50.0,35,22,6,26,52,26,34,5,29,68,131,67,1,Matches,2418,2101,308,46,2,19,46,261,1,0,0,0,2074,9,55,7,0,0,35,21,16,46,68,42,0,0,0,189,15,21,41.7
Raúl Albentosa,es ESP,DF,La Coruña,28,1988,19.4,607,775,78.3,14038,5509,136,162,84.0,334,386,86.5,135,214,63.1,0,0.2,0.2,-0.2,3,28,1,0,27,13,35.0,9,4,0,7,20,13,26,19,7,26,39,92,1,Matches,775,738,34,33,1,12,2,1,0,0,0,0,607,3,8,5,0,0,15,14,1,2,26,6,0,1,0,73,39,18,68.4
Paco Alcácer,es ESP,"MF,FW",Barcelona,23,1993,7.7,188,234,80.3,2272,421,116,134,86.6,46,56,82.1,5,11,45.5,3,2.1,1.6,+0.9,10,7,8,1,13,4,0.0,0,2,2,0,6,6,5,0,5,11,15,3,0,Matches,234,224,8,0,3,0,6,3,3,2,0,1,188,2,5,0,0,0,2,9,7,6,11,3,0,0,0,28,7,17,29.2
Pedro Alcalá,es ESP,DF,Girona,28,1989,7.7,208,295,70.5,4905,1524,50,59,84.7,111,134,82.8,46,93,49.5,0,0.2,0.1,-0.2,1,24,1,0,24,9,33.3,5,4,0,1,3,2,7,3,4,14,23,41,0,Matches,295,279,13,13,0,18,4,0,0,0,0,0,208,3,3,4,0,0,11,3,2,4,14,5,0,0,0,26,19,11,63.3
Steve Aldo One,cm CMR,DF,La Coruña,22,1995,1.0,18,22,81.8,354,169,5,6,83.3,10,12,83.3,3,4,75.0,0,0.0,0.0,0.0,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,1,7,0,Matches,22,21,1,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0
Álex Alegría,es ESP,FW,Levante,24,1992,7.0,111,164,67.7,1333,166,73,99,73.7,33,44,75.0,0,3,0.0,0,0.2,0.2,-0.2,3,10,2,0,8,8,33.3,1,3,4,2,6,4,7,0,7,4,12,9,0,Matches,164,144,19,0,1,0,2,0,0,0,0,0,111,1,6,1,0,0,16,18,5,2,4,5,0,0,0,16,24,24,50.0
Iván Alejo,es ESP,"MF,FW",Eibar,22,1995,12.2,182,340,53.5,2848,887,111,151,73.5,54,99,54.5,15,52,28.8,3,2.1,2.0,+0.9,17,11,26,19,20,20,10.0,4,9,7,1,10,9,9,0,9,5,25,1,0,Matches,340,325,13,1,1,2,109,11,1,0,0,0,182,2,32,5,0,0,25,45,3,109,5,16,0,0,0,67,10,13,43.5
Alexander,ar ARG,"MF,FW",Leganés,28,1988,11.8,219,320,68.4,2918,931,141,172,82.0,47,80,58.8,14,29,48.3,2,2.5,2.9,-0.5,19,13,14,6,26,14,16.7,2,11,1,2,12,10,11,0,11,22,36,4,0,Matches,320,293,24,5,0,3,40,7,12,4,6,0,219,3,17,1,0,0,19,18,8,40,22,11,1,0,0,56,2,4,33.3
Alexis,es ESP,DF,Alavés,31,1985,24.3,544,743,73.2,10573,5124,205,237,86.5,249,334,74.6,79,146,54.1,0,0.3,0.2,-0.3,5,27,3,0,34,33,44.4,24,7,2,20,45,25,28,14,14,30,63,114,3,Matches,743,573,162,65,0,7,6,97,0,0,0,0,544,8,5,6,0,0,20,14,2,6,30,24,0,0,1,112,28,18,60.9
José Alonso Lara,es ESP,MF,Sevilla,17,2000,0.1,3,4,75.0,41,12,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sergio Álvarez,es ESP,GK,Celta Vigo,30,1986,16.4,424,626,67.7,13411,10001,30,30,100.0,234,239,97.9,160,353,45.3,0,0.1,0.0,-0.1,1,7,1,0,0,0,0.0,0,0,0,0,1,1,1,0,1,0,0,11,1,Matches,626,442,181,52,0,2,0,0,0,0,0,0,424,3,1,0,0,0,0,5,0,0,0,0,0,0,0,25,5,1,83.3
Yeray Álvarez,es ESP,DF,Athletic Club,22,1995,7.5,385,468,82.3,8463,3208,101,119,84.9,207,229,90.4,74,111,66.7,0,0.1,0.1,-0.1,2,36,1,0,41,12,66.7,8,4,0,6,9,3,8,2,6,11,23,18,0,Matches,468,431,35,26,0,8,1,9,0,0,0,0,385,2,1,2,0,0,12,10,0,1,11,7,0,0,0,66,13,12,52.0
Eloi Amagat,es ESP,MF,Girona,32,1985,0.2,8,9,88.9,176,49,3,3,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,3,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,Matches,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Jordi Amat,id IDN,"DF,MF",Betis,25,1992,22.7,1444,1609,89.7,27991,7765,497,538,92.4,782,831,94.1,152,201,75.6,0,0.1,0.3,-0.1,5,77,3,0,101,32,45.8,15,16,1,11,24,13,14,4,10,38,70,77,2,Matches,1609,1542,64,56,0,19,0,8,0,0,0,0,1444,3,15,7,2,1,38,10,0,0,38,23,0,2,1,112,29,30,49.2
Amath,sn SEN,"MF,FW",Getafe,21,1996,31.8,390,596,65.4,5819,1699,211,288,73.3,121,171,70.8,29,57,50.9,3,2.7,1.5,+0.3,23,47,17,3,66,78,27.0,32,28,18,24,89,65,36,3,33,33,111,20,0,Matches,596,578,9,1,3,7,21,7,0,0,0,0,390,9,29,9,0,0,72,62,10,21,33,53,0,0,0,183,19,47,28.8
Nordin Amrabat,ma MAR,"FW,MF",Leganés,30,1987,18.0,296,481,61.5,4395,981,173,215,80.5,95,151,62.9,16,49,32.7,4,3.2,2.1,+0.8,23,20,17,5,50,19,29.4,5,10,4,5,17,12,13,0,13,5,24,2,0,Matches,481,450,24,0,5,3,61,13,2,1,0,0,296,7,23,6,1,1,54,36,25,61,5,10,0,1,0,76,12,23,34.3
Jon Ander Serantes,es ESP,GK,Leganés,27,1989,1.0,12,33,36.4,636,597,0,0,,2,2,100.0,10,31,32.3,0,0.0,0.0,0.0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Matches,33,18,15,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Florin Andone,ro ROU,FW,La Coruña,24,1993,18.2,188,308,61.0,2226,245,130,176,73.9,43,75,57.3,1,10,10.0,3,0.9,1.1,+2.1,9,4,4,1,11,9,23.5,4,4,1,4,17,13,9,2,7,3,12,12,0,Matches,308,271,35,0,0,0,17,2,0,0,0,0,188,2,20,6,0,0,59,19,17,17,3,7,0,0,0,50,32,70,31.4
Miguel Ángel Guerrero,es ESP,FW,Leganés,27,1990,16.0,283,374,75.7,3755,473,181,227,79.7,78,101,77.2,10,13,76.9,3,1.5,1.0,+1.5,14,13,4,0,18,7,9.1,0,2,5,1,11,10,11,0,11,9,16,16,0,Matches,374,336,35,0,1,2,1,0,0,0,0,0,283,3,5,3,0,0,36,23,13,1,9,5,0,0,0,37,42,41,50.6
José Ángel,es ESP,DF,Eibar,27,1989,27.0,1003,1645,61.0,20949,9014,347,431,80.5,434,630,68.9,197,486,40.5,8,4.1,3.6,+3.9,45,119,35,29,128,61,65.5,36,19,6,38,58,20,31,1,30,38,99,76,0,Matches,1645,1223,411,66,0,33,226,304,41,5,36,0,1003,11,57,4,0,0,20,17,1,226,38,44,0,0,0,187,36,29,55.4
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,33,1984,8.5,274,361,75.9,8727,6236,14,14,100.0,135,140,96.4,124,205,60.5,0,0.0,0.0,0.0,0,6,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,2,2,7,0,Matches,361,267,94,24,0,2,0,0,0,0,0,0,274,0,0,0,0,0,1,0,0,0,2,0,0,1,0,22,2,0,100.0
Miguel Ángel Rubio,es ESP,DF,Getafe,19,1998,0.3,3,10,30.0,35,35,2,4,50.0,1,3,33.3,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches,10,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,1,75.0
Vitorino Antunes,pt POR,DF,Getafe,30,1987,31.1,862,1366,63.1,15837,8357,400,455,87.9,328,491,66.8,114,345,33.0,2,3.4,3.2,-1.4,28,89,36,15,116,58,51.4,42,14,2,38,74,36,31,3,28,58,116,89,1,Matches,1366,934,423,53,3,12,149,318,52,12,22,1,862,9,37,14,0,0,50,36,1,149,58,44,0,0,0,172,18,23,43.9
Alberto Aquilani,it ITA,MF,Las Palmas,33,1984,14.4,838,1008,83.1,15743,4147,374,419,89.3,310,360,86.1,130,179,72.6,0,0.5,0.7,-0.5,12,86,6,0,80,33,35.5,13,17,3,11,31,20,20,4,16,23,56,23,0,Matches,1008,974,31,29,4,35,7,2,0,0,0,0,838,3,13,4,0,0,18,14,1,7,23,19,0,0,0,94,11,13,45.8
Mauro Arambarri,uy URU,MF,Getafe,21,1995,23.6,435,629,69.2,9748,2632,147,191,77.0,162,217,74.7,115,178,64.6,1,1.9,1.3,-0.9,9,53,7,1,76,56,29.8,19,30,7,14,47,33,26,3,23,25,81,36,0,Matches,629,618,5,4,3,30,6,0,0,0,0,0,435,6,18,9,1,1,49,42,0,6,25,41,0,0,0,166,17,31,35.4
Guilherme Arana,br BRA,DF,Sevilla,20,1997,2.1,105,123,85.4,1310,461,81,86,94.2,19,25,76.0,2,7,28.6,0,0.0,0.0,0.0,0,2,0,0,4,4,100.0,3,1,0,1,1,0,0,0,0,5,9,8,0,Matches,123,102,21,1,0,0,3,20,0,0,0,0,105,0,2,0,0,0,2,2,0,3,5,2,0,0,1,19,2,3,40.0
Sergio Araujo,ar ARG,"MF,FW",Las Palmas,25,1992,0.4,20,21,95.2,253,39,15,15,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,0,3,100.0,0,0,3,1,1,0,0,0,0,0,3,0,0,Matches,21,19,2,0,0,0,0,1,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0.0
Anaitz Arbilla,es ESP,DF,Eibar,30,1987,26.8,1235,1559,79.2,29963,11577,334,383,87.2,561,638,87.9,331,499,66.3,1,0.4,0.8,+0.6,8,143,10,1,158,38,52.5,24,12,2,21,40,19,21,10,11,78,116,108,2,Matches,1559,1447,101,59,0,88,11,40,2,0,1,0,1235,11,16,8,0,0,26,11,0,11,78,30,0,2,1,238,44,35,55.7
José Arnaiz,es ESP,MF,Barcelona,22,1995,0.1,3,4,75.0,46,0,2,2,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,1,0,0,Matches,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
Alejandro Arribas,es ESP,DF,La Coruña,28,1989,3.0,99,118,83.9,2115,689,24,26,92.3,61,63,96.8,13,28,46.4,0,0.0,0.0,0.0,0,5,0,0,11,2,20.0,1,1,0,1,5,4,5,3,2,6,8,8,0,Matches,118,118,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,5,2,0,0,6,2,0,1,1,15,2,4,33.3
Sergio Arribas,es ESP,MF,Leganés,22,1995,0.3,9,10,90.0,90,3,7,7,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,2,100.0,2,0,0,2,2,0,0,0,0,1,3,0,0,Matches,10,10,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0.0
Kepa Arrizabalaga,es ESP,GK,Athletic Club,22,1994,30.0,700,1056,66.3,27639,23096,24,25,96.0,246,249,98.8,429,771,55.6,0,0.3,0.1,-0.3,1,32,0,0,0,0,0.0,0,0,0,0,2,2,0,0,0,2,2,6,2,Matches,1056,748,301,95,0,0,0,0,0,0,0,0,700,7,2,3,0,0,1,7,0,0,2,0,0,1,0,47,5,1,83.3
Aythami Artiles,es ESP,DF,Las Palmas,31,1986,2.0,81,95,85.3,1763,583,23,26,88.5,48,54,88.9,10,15,66.7,0,0.0,0.0,0.0,0,3,0,0,1,2,0.0,2,0,0,0,1,1,2,1,1,2,4,19,0,Matches,95,83,12,12,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,1,0,0,2,2,0,0,0,9,5,0,100.0
Sergio Asenjo,es ESP,GK,Villarreal,28,1989,23.0,406,657,61.8,13406,10597,50,50,100.0,163,168,97.0,191,434,44.0,0,0.0,0.0,0.0,0,6,0,0,0,2,20.0,2,0,0,1,5,4,0,0,0,0,2,11,2,Matches,657,390,264,64,0,1,0,0,0,0,0,0,406,3,0,3,0,0,2,3,0,0,0,2,0,1,0,32,7,1,87.5
Marco Asensio,es ESP,"FW,MF",Real Madrid,21,1996,20.5,1062,1264,84.0,15960,3700,627,676,92.8,322,378,85.2,77,130,59.2,6,6.4,3.6,-0.4,52,113,43,7,157,26,42.3,7,13,6,11,26,15,15,0,15,9,35,2,0,Matches,1264,1172,87,16,9,21,106,19,50,12,17,2,1062,5,31,2,0,0,9,27,3,106,9,17,0,0,0,77,3,3,50.0
Iago Aspas,es ESP,FW,Celta Vigo,29,1987,32.6,992,1316,75.4,14982,3301,592,705,84.0,277,366,75.7,81,125,64.8,5,9.5,7.0,-4.5,69,73,50,7,126,26,14.7,10,10,6,5,34,29,15,1,14,23,49,11,1,Matches,1316,1236,69,20,9,18,62,9,29,7,3,0,992,11,47,9,0,0,23,62,11,62,23,22,1,0,0,137,15,40,27.3
Carlos Bacca,co COL,FW,Villarreal,30,1986,27.7,388,538,72.1,5649,1228,232,295,78.6,112,158,70.9,27,41,65.9,6,4.7,4.2,+1.3,30,21,15,1,39,10,8.3,2,4,4,1,12,11,16,1,15,8,18,16,0,Matches,538,492,41,0,1,4,11,2,2,0,0,0,388,5,13,9,0,0,22,20,40,11,8,2,0,0,0,54,23,38,37.7
Cédric Bakambu,cd COD,FW,Villarreal,26,1991,14.0,209,293,71.3,2837,684,125,152,82.2,54,84,64.3,11,17,64.7,0,1.6,0.6,-1.6,15,19,5,1,21,10,14.3,3,6,1,1,7,6,9,1,8,3,13,27,0,Matches,293,274,17,1,1,3,12,0,0,0,0,0,209,2,9,5,0,0,40,19,11,12,3,7,0,0,0,38,17,41,29.3
Zakaria Bakkali,be BEL,"FW,MF",La Coruña,21,1996,10.1,232,307,75.6,3284,692,145,164,88.4,66,93,71.0,14,29,48.3,0,0.3,0.9,-0.3,8,13,3,2,30,12,28.6,7,4,1,4,14,10,5,0,5,4,16,6,0,Matches,307,287,16,1,1,0,36,6,9,4,0,0,232,4,9,5,0,0,14,20,4,36,4,10,0,0,0,46,4,11,26.7
Gareth Bale,wls WAL,"FW,MF",Real Madrid,28,1989,20.0,603,779,77.4,9329,2213,360,408,88.2,162,210,77.1,56,89,62.9,2,5.0,4.1,-3.0,41,32,44,11,87,19,21.4,7,8,4,3,14,11,13,1,12,12,31,18,0,Matches,779,746,25,1,2,22,55,20,0,0,0,0,603,8,25,5,0,0,25,16,13,55,12,13,2,0,0,37,33,29,53.2
Mikel Balenziaga,es ESP,DF,Athletic Club,29,1988,17.2,599,791,75.7,9534,2681,304,340,89.4,239,315,75.9,35,85,41.2,2,1.0,1.1,+1.0,7,34,16,12,48,34,55.6,17,13,4,15,27,12,24,5,19,17,51,61,0,Matches,791,615,176,11,0,3,50,165,0,0,0,0,599,0,27,1,0,0,21,16,0,50,17,24,0,0,0,91,15,13,53.6
Éver Banega,ar ARG,MF,Sevilla,29,1988,26.7,1896,2309,82.1,35620,13307,784,865,90.6,811,923,87.9,260,421,61.8,3,6.2,5.5,-3.2,66,268,38,2,350,71,34.9,25,37,9,22,63,41,23,1,22,12,83,17,3,Matches,2309,2065,223,107,10,31,145,11,103,42,48,1,1896,21,25,9,1,0,42,51,2,145,12,53,0,0,0,244,10,13,43.5
Léo Baptistão,br BRA,"FW,MF",Espanyol,24,1992,29.7,473,727,65.1,6165,1407,300,387,77.5,132,193,68.4,13,45,28.9,3,2.5,3.2,+0.5,25,33,19,4,51,54,25.0,12,28,14,13,52,39,22,1,21,23,77,25,0,Matches,727,684,42,0,5,2,34,5,0,0,0,0,473,1,51,4,0,0,48,49,14,34,23,34,0,0,0,128,46,60,43.4
Mariano Barbosa,ar ARG,GK,Villarreal,33,1984,12.5,225,335,67.2,6683,5191,35,35,100.0,106,106,100.0,84,194,43.3,0,0.0,0.0,0.0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,4,0,Matches,335,202,133,28,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,3,0,0,1,0,0,0,0,20,1,0,100.0
Enis Bardhi,mk MKD,MF,Levante,22,1995,17.6,520,683,76.1,9176,2631,252,295,85.4,183,220,83.2,63,118,53.4,1,1.3,1.3,-0.3,23,83,8,0,91,39,26.3,14,16,9,10,38,28,11,0,11,16,55,7,0,Matches,683,602,78,27,2,15,55,6,42,15,15,3,520,3,14,8,0,0,39,25,3,55,16,26,0,0,0,93,4,15,21.1
Antonio Barragán,es ESP,DF,Betis,30,1987,26.4,1293,1618,79.9,19836,7027,742,835,88.9,434,547,79.3,90,168,53.6,6,2.8,3.2,+3.2,21,78,26,10,123,59,66.7,40,11,8,24,36,12,22,5,17,24,83,66,0,Matches,1618,1394,219,14,2,7,92,205,0,0,0,0,1293,5,28,7,0,0,51,19,4,92,24,42,0,1,0,131,44,19,69.8
Barri,es ESP,"MF,FW",Getafe,21,1995,1.3,10,16,62.5,202,88,5,7,71.4,3,3,100.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,4,1,0.0,0,1,0,0,4,4,1,1,0,1,2,3,0,Matches,16,14,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,3,0,0,0,1,0,0,0,0,6,2,3,40.0
Marc Bartra,es ESP,DF,Betis,26,1991,15.8,939,1100,85.4,18744,6976,314,336,93.5,491,527,93.2,123,212,58.0,0,0.7,0.5,-0.7,5,75,3,1,57,38,53.8,30,8,0,21,39,18,19,10,9,32,70,97,1,Matches,1100,1038,57,55,3,12,2,1,0,0,0,0,939,5,7,6,0,0,20,16,0,2,32,28,0,0,0,113,51,23,68.9
Borja Bastón,es ESP,FW,Málaga,24,1992,10.9,171,236,72.5,2013,216,121,149,81.2,34,51,66.7,4,7,57.1,0,0.1,0.1,-0.1,4,5,2,0,8,9,7.7,1,6,2,1,13,12,7,0,7,3,12,5,0,Matches,236,212,22,0,3,1,5,0,0,0,0,0,171,2,9,2,0,0,16,7,9,5,3,7,1,0,0,20,26,38,40.6
Jon Bautista,es ESP,"FW,MF",Real Sociedad,22,1995,2.0,27,35,77.1,305,46,16,18,88.9,4,8,50.0,2,3,66.7,0,0.1,0.1,-0.1,1,0,2,0,3,0,0.0,0,0,0,0,1,1,2,0,2,0,0,0,0,Matches,35,32,3,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,6,1,1,0,0,0,0,0,0,5,7,9,43.8
Paul Baysse,fr FRA,DF,Málaga,29,1988,13.8,448,549,81.6,9290,3165,141,159,88.7,238,273,87.2,66,110,60.0,0,0.0,0.0,0.0,0,13,0,0,25,25,58.8,21,3,1,10,17,7,10,6,4,20,45,84,0,Matches,549,517,32,30,0,7,0,2,0,0,0,0,448,0,1,1,0,0,20,7,3,0,20,16,0,0,0,56,34,22,60.7
Claudio Beauvue,gp GLP,FW,Leganés,29,1988,18.6,208,321,64.8,2650,449,125,172,72.7,55,84,65.5,7,22,31.8,0,1.3,0.7,-1.3,9,15,5,0,22,5,8.3,2,2,1,1,12,11,7,0,7,2,7,16,0,Matches,321,279,37,1,2,1,11,3,0,0,0,0,208,5,10,4,0,0,30,27,17,11,2,3,0,0,0,31,67,108,38.3
Bebé,cv CPV,"MF,FW",Eibar,27,1990,4.1,84,149,56.4,1390,280,41,52,78.8,27,50,54.0,10,29,34.5,1,1.7,0.6,-0.7,8,3,4,4,3,9,37.5,1,4,4,3,8,5,5,0,5,3,12,1,0,Matches,149,132,16,4,0,1,47,5,7,3,4,0,84,1,8,0,0,0,8,4,3,47,3,7,0,0,0,19,2,2,50.0
Wissam Ben Yedder,fr FRA,FW,Sevilla,26,1990,18.9,371,481,77.1,4592,831,242,283,85.5,93,126,73.8,11,22,50.0,3,2.1,2.8,+0.9,28,18,16,0,53,12,50.0,2,5,5,1,2,1,10,0,10,5,17,2,0,Matches,481,440,39,0,2,0,8,0,0,0,0,0,371,2,10,2,1,1,17,20,21,8,5,8,0,0,0,60,15,58,20.5
Karim Benzema,fr FRA,FW,Real Madrid,29,1987,23.9,723,881,82.1,9638,1966,473,541,87.4,159,194,82.0,46,54,85.2,10,6.8,5.3,+3.2,44,59,30,1,98,14,15.0,2,6,6,3,20,17,18,0,18,8,22,19,0,Matches,881,832,42,2,8,10,6,0,1,0,0,0,723,7,25,0,0,0,19,11,15,6,8,8,1,0,0,43,9,28,24.3
Markel Bergara,es ESP,MF,Getafe,31,1986,16.3,278,397,70.0,3817,1056,158,212,74.5,85,114,74.6,13,32,40.6,1,0.0,0.2,+1.0,2,19,3,0,28,35,28.0,17,17,1,7,25,18,10,3,7,23,58,20,0,Matches,397,369,23,3,0,1,5,0,0,0,0,0,278,5,6,5,0,0,34,18,2,5,23,22,0,0,0,80,28,29,49.1
Pedro Bigas,es ESP,DF,Las Palmas,26,1990,9.9,522,596,87.6,9370,3911,236,258,91.5,224,241,92.9,56,82,68.3,0,0.3,0.2,-0.3,5,24,2,0,32,14,53.8,10,4,0,7,13,6,18,11,7,16,30,41,2,Matches,596,566,28,22,0,10,0,6,0,0,0,0,522,2,7,3,0,0,12,6,1,0,16,9,0,0,0,53,11,6,64.7
Rubén Blanco,es ESP,GK,Celta Vigo,22,1995,21.6,507,819,61.9,16518,11951,22,22,100.0,277,281,98.6,208,507,41.0,0,0.0,0.0,0.0,0,12,0,0,1,0,0.0,0,0,0,0,2,2,1,0,1,3,3,16,1,Matches,819,602,209,58,0,0,0,0,0,0,0,0,507,8,1,3,1,0,1,0,0,0,3,0,0,0,0,22,6,0,100.0
Emmanuel Boateng,gh GHA,FW,Levante,21,1996,14.2,143,228,62.7,1890,358,99,138,71.7,31,58,53.4,7,9,77.8,0,1.3,0.4,-1.3,7,18,7,0,21,4,0.0,0,0,4,0,6,6,8,1,7,5,9,17,0,Matches,228,207,17,0,0,0,3,0,0,0,0,0,143,4,4,5,0,0,41,37,9,3,5,3,1,1,0,35,73,64,53.3
Daniele Bonera,it ITA,DF,Villarreal,36,1981,13.2,493,569,86.6,10077,4150,174,186,93.5,235,254,92.5,79,119,66.4,1,0.6,0.2,+0.4,3,42,2,0,48,16,66.7,8,7,1,10,15,5,17,12,5,12,28,72,0,Matches,569,536,31,30,1,5,0,1,0,0,0,0,493,2,2,4,1,0,14,11,0,0,12,11,0,1,0,48,15,8,65.2
Celso Borges,cr CRC,MF,La Coruña,29,1988,25.6,952,1236,77.0,14993,4829,568,690,82.3,273,336,81.3,85,147,57.8,3,2.4,1.5,+0.6,24,116,15,3,131,61,31.9,34,22,5,15,47,32,39,7,32,34,95,36,0,Matches,1236,1202,29,26,1,16,17,3,0,0,0,0,952,5,18,4,1,1,35,13,4,17,34,39,0,0,0,176,116,74,61.1
Ryad Boudebouz,dz ALG,"MF,FW",Betis,27,1990,15.1,661,862,76.7,10048,2252,373,437,85.4,199,258,77.1,54,104,51.9,3,2.5,2.6,+0.5,26,55,12,1,75,32,23.1,6,21,5,6,26,20,18,1,17,7,39,8,0,Matches,862,799,61,29,4,13,52,5,23,15,6,0,661,2,18,2,0,0,21,17,1,52,7,18,0,0,0,65,6,22,21.4
Yassine Bounou,ma MAR,GK,Girona,26,1991,29.5,444,879,50.5,18205,15133,31,31,100.0,118,122,96.7,293,720,40.7,0,0.0,0.1,0.0,0,19,0,0,0,1,0.0,1,0,0,0,2,2,0,0,0,4,5,14,0,Matches,879,524,352,109,0,1,0,0,0,0,0,0,444,3,1,2,0,0,1,1,0,0,4,1,0,1,0,36,3,2,60.0
Eneko Bóveda,es ESP,DF,La Coruña,28,1988,7.4,212,284,74.6,4237,1316,71,90,78.9,98,121,81.0,36,54,66.7,0,0.0,0.0,0.0,0,9,1,0,14,24,61.5,13,10,1,8,13,5,18,7,11,16,40,36,2,Matches,284,255,29,6,0,3,3,23,0,0,0,0,212,0,10,2,0,0,10,3,0,3,16,16,0,0,1,30,17,18,48.6
Eneko Bóveda,es ESP,DF,La Coruña,28,1988,7.4,212,284,74.6,4237,1316,71,90,78.9,98,121,81.0,36,54,66.7,0,0.0,0.0,0.0,0,9,1,0,14,24,61.5,13,10,1,8,13,5,18,7,11,16,40,36,2,Matches,284,255,29,6,0,3,3,23,0,0,0,0,212,0,10,1,0,0,11,1,1,19,14,11,0,0,0,26,8,7,53.3
Eneko Bóveda,es ESP,DF,La Coruña,28,1988,7.4,212,284,74.6,4237,1316,71,90,78.9,98,121,81.0,36,54,66.7,0,0.0,0.0,0.0,0,9,1,0,14,24,61.5,13,10,1,8,13,5,18,7,11,16,40,36,2,Matches,293,225,68,6,0,0,19,62,0,0,0,0,203,0,7,2,0,0,10,3,0,3,16,16,0,0,1,30,17,18,48.6
